number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
43,فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا ٱهْبِطُوا۟ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّۭ ۖ وَلَكُمْ فِى ٱلْأَرْضِ مُسْتَقَرٌّۭ وَمَتَٰعٌ إِلَىٰ حِينٍۢ,36,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-36- Urdu Translation: ,2-36- Urdu Tafseer: ,2-36- English Translation: ,2-36- English Tafseer: ,2-36- Sindhi Translation: ,2-36- Sindhi Tafseer:,2-36- Hindi Translation: ,2-36- Hindi Tafseer: ,2-36- Pushto Translation: ,2-36- Pushto Tafseer: 
44,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٍۢ فَتَابَ عَلَيْهِ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,37,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-37- Urdu Translation: ,2-37- Urdu Tafseer: ,2-37- English Translation: ,2-37- English Tafseer: ,2-37- Sindhi Translation: ,2-37- Sindhi Tafseer:,2-37- Hindi Translation: ,2-37- Hindi Tafseer: ,2-37- Pushto Translation: ,2-37- Pushto Tafseer: 
45,قُلْنَا ٱهْبِطُوا۟ مِنْهَا جَمِيعًۭا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّى هُدًۭى فَمَن تَبِعَ هُدَاىَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,38,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-38- Urdu Translation: ,2-38- Urdu Tafseer: ,2-38- English Translation: ,2-38- English Tafseer: ,2-38- Sindhi Translation: ,2-38- Sindhi Tafseer:,2-38- Hindi Translation: ,2-38- Hindi Tafseer: ,2-38- Pushto Translation: ,2-38- Pushto Tafseer: 
46,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔايَٰتِنَآ أُو۟لَٰٓئِكَ أَصْحَٰبُ ٱلنَّارِ ۖ هُمْ فِيهَا خَٰلِدُونَ,39,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-39- Urdu Translation: ,2-39- Urdu Tafseer: ,2-39- English Translation: ,2-39- English Tafseer: ,2-39- Sindhi Translation: ,2-39- Sindhi Tafseer:,2-39- Hindi Translation: ,2-39- Hindi Tafseer: ,2-39- Pushto Translation: ,2-39- Pushto Tafseer: 
47,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا۟ بِعَهْدِىٓ أُوفِ بِعَهْدِكُمْ وَإِيَّٰىَ فَٱرْهَبُونِ,40,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-40- Urdu Translation: ,2-40- Urdu Tafseer: ,2-40- English Translation: ,2-40- English Tafseer: ,2-40- Sindhi Translation: ,2-40- Sindhi Tafseer:,2-40- Hindi Translation: ,2-40- Hindi Tafseer: ,2-40- Pushto Translation: ,2-40- Pushto Tafseer: 
48,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ مُصَدِّقًۭا لِّمَا مَعَكُمْ وَلَا تَكُونُوٓا۟ أَوَّلَ كَافِرٍۭ بِهِۦ ۖ وَلَا تَشْتَرُوا۟ بِـَٔايَٰتِى ثَمَنًۭا قَلِيلًۭا وَإِيَّٰىَ فَٱتَّقُونِ,41,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-41- Urdu Translation: ,2-41- Urdu Tafseer: ,2-41- English Translation: ,2-41- English Tafseer: ,2-41- Sindhi Translation: ,2-41- Sindhi Tafseer:,2-41- Hindi Translation: ,2-41- Hindi Tafseer: ,2-41- Pushto Translation: ,2-41- Pushto Tafseer: 
49,وَلَا تَلْبِسُوا۟ ٱلْحَقَّ بِٱلْبَٰطِلِ وَتَكْتُمُوا۟ ٱلْحَقَّ وَأَنتُمْ تَعْلَمُونَ,42,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-42- Urdu Translation: ,2-42- Urdu Tafseer: ,2-42- English Translation: ,2-42- English Tafseer: ,2-42- Sindhi Translation: ,2-42- Sindhi Tafseer:,2-42- Hindi Translation: ,2-42- Hindi Tafseer: ,2-42- Pushto Translation: ,2-42- Pushto Tafseer: 
50,وَأَقِيمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَٱرْكَعُوا۟ مَعَ ٱلرَّٰكِعِينَ,43,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-43- Urdu Translation: ,2-43- Urdu Tafseer: ,2-43- English Translation: ,2-43- English Tafseer: ,2-43- Sindhi Translation: ,2-43- Sindhi Tafseer:,2-43- Hindi Translation: ,2-43- Hindi Tafseer: ,2-43- Pushto Translation: ,2-43- Pushto Tafseer: 
51,۞ أَتَأْمُرُونَ ٱلنَّاسَ بِٱلْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ ٱلْكِتَٰبَ ۚ أَفَلَا تَعْقِلُونَ,44,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-44- Urdu Translation: ,2-44- Urdu Tafseer: ,2-44- English Translation: ,2-44- English Tafseer: ,2-44- Sindhi Translation: ,2-44- Sindhi Tafseer:,2-44- Hindi Translation: ,2-44- Hindi Tafseer: ,2-44- Pushto Translation: ,2-44- Pushto Tafseer: 
52,وَٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى ٱلْخَٰشِعِينَ,45,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-45- Urdu Translation: ,2-45- Urdu Tafseer: ,2-45- English Translation: ,2-45- English Tafseer: ,2-45- Sindhi Translation: ,2-45- Sindhi Tafseer:,2-45- Hindi Translation: ,2-45- Hindi Tafseer: ,2-45- Pushto Translation: ,2-45- Pushto Tafseer: 
53,ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَٰقُوا۟ رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَٰجِعُونَ,46,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-46- Urdu Translation: ,2-46- Urdu Tafseer: ,2-46- English Translation: ,2-46- English Tafseer: ,2-46- Sindhi Translation: ,2-46- Sindhi Tafseer:,2-46- Hindi Translation: ,2-46- Hindi Tafseer: ,2-46- Pushto Translation: ,2-46- Pushto Tafseer: 
54,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَنِّى فَضَّلْتُكُمْ عَلَى ٱلْعَٰلَمِينَ,47,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-47- Urdu Translation: ,2-47- Urdu Tafseer: ,2-47- English Translation: ,2-47- English Tafseer: ,2-47- Sindhi Translation: ,2-47- Sindhi Tafseer:,2-47- Hindi Translation: ,2-47- Hindi Tafseer: ,2-47- Pushto Translation: ,2-47- Pushto Tafseer: 
55,وَٱتَّقُوا۟ يَوْمًۭا لَّا تَجْزِى نَفْسٌ عَن نَّفْسٍۢ شَيْـًۭٔا وَلَا يُقْبَلُ مِنْهَا شَفَٰعَةٌۭ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌۭ وَلَا هُمْ يُنصَرُونَ,48,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-48- Urdu Translation: ,2-48- Urdu Tafseer: ,2-48- English Translation: ,2-48- English Tafseer: ,2-48- Sindhi Translation: ,2-48- Sindhi Tafseer:,2-48- Hindi Translation: ,2-48- Hindi Tafseer: ,2-48- Pushto Translation: ,2-48- Pushto Tafseer: 
56,وَإِذْ نَجَّيْنَٰكُم مِّنْ ءَالِ فِرْعَوْنَ يَسُومُونَكُمْ سُوٓءَ ٱلْعَذَابِ يُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْ ۚ وَفِى ذَٰلِكُم بَلَآءٌۭ مِّن رَّبِّكُمْ عَظِيمٌۭ,49,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-49- Urdu Translation: ,2-49- Urdu Tafseer: ,2-49- English Translation: ,2-49- English Tafseer: ,2-49- Sindhi Translation: ,2-49- Sindhi Tafseer:,2-49- Hindi Translation: ,2-49- Hindi Tafseer: ,2-49- Pushto Translation: ,2-49- Pushto Tafseer: 
57,وَإِذْ فَرَقْنَا بِكُمُ ٱلْبَحْرَ فَأَنجَيْنَٰكُمْ وَأَغْرَقْنَآ ءَالَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ,50,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-50- Urdu Translation: ,2-50- Urdu Tafseer: ,2-50- English Translation: ,2-50- English Tafseer: ,2-50- Sindhi Translation: ,2-50- Sindhi Tafseer:,2-50- Hindi Translation: ,2-50- Hindi Tafseer: ,2-50- Pushto Translation: ,2-50- Pushto Tafseer: 
58,وَإِذْ وَٰعَدْنَا مُوسَىٰٓ أَرْبَعِينَ لَيْلَةًۭ ثُمَّ ٱتَّخَذْتُمُ ٱلْعِجْلَ مِنۢ بَعْدِهِۦ وَأَنتُمْ ظَٰلِمُونَ,51,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-51- Urdu Translation: ,2-51- Urdu Tafseer: ,2-51- English Translation: ,2-51- English Tafseer: ,2-51- Sindhi Translation: ,2-51- Sindhi Tafseer:,2-51- Hindi Translation: ,2-51- Hindi Tafseer: ,2-51- Pushto Translation: ,2-51- Pushto Tafseer: 
59,ثُمَّ عَفَوْنَا عَنكُم مِّنۢ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,52,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-52- Urdu Translation: ,2-52- Urdu Tafseer: ,2-52- English Translation: ,2-52- English Tafseer: ,2-52- Sindhi Translation: ,2-52- Sindhi Tafseer:,2-52- Hindi Translation: ,2-52- Hindi Tafseer: ,2-52- Pushto Translation: ,2-52- Pushto Tafseer: 
60,وَإِذْ ءَاتَيْنَا مُوسَى ٱلْكِتَٰبَ وَٱلْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,53,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-53- Urdu Translation: ,2-53- Urdu Tafseer: ,2-53- English Translation: ,2-53- English Tafseer: ,2-53- Sindhi Translation: ,2-53- Sindhi Tafseer:,2-53- Hindi Translation: ,2-53- Hindi Tafseer: ,2-53- Pushto Translation: ,2-53- Pushto Tafseer: 
61,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِۦ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلْعِجْلَ فَتُوبُوٓا۟ إِلَىٰ بَارِئِكُمْ فَٱقْتُلُوٓا۟ أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌۭ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,54,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-54- Urdu Translation: ,2-54- Urdu Tafseer: ,2-54- English Translation: ,2-54- English Tafseer: ,2-54- Sindhi Translation: ,2-54- Sindhi Tafseer:,2-54- Hindi Translation: ,2-54- Hindi Tafseer: ,2-54- Pushto Translation: ,2-54- Pushto Tafseer: 
62,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهْرَةًۭ فَأَخَذَتْكُمُ ٱلصَّٰعِقَةُ وَأَنتُمْ تَنظُرُونَ,55,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-55- Urdu Translation: ,2-55- Urdu Tafseer: ,2-55- English Translation: ,2-55- English Tafseer: ,2-55- Sindhi Translation: ,2-55- Sindhi Tafseer:,2-55- Hindi Translation: ,2-55- Hindi Tafseer: ,2-55- Pushto Translation: ,2-55- Pushto Tafseer: 
63,ثُمَّ بَعَثْنَٰكُم مِّنۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ,56,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-56- Urdu Translation: ,2-56- Urdu Tafseer: ,2-56- English Translation: ,2-56- English Tafseer: ,2-56- Sindhi Translation: ,2-56- Sindhi Tafseer:,2-56- Hindi Translation: ,2-56- Hindi Tafseer: ,2-56- Pushto Translation: ,2-56- Pushto Tafseer: 
64,وَظَلَّلْنَا عَلَيْكُمُ ٱلْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ ٱلْمَنَّ وَٱلسَّلْوَىٰ ۖ كُلُوا۟ مِن طَيِّبَٰتِ مَا رَزَقْنَٰكُمْ ۖ وَمَا ظَلَمُونَا وَلَٰكِن كَانُوٓا۟ أَنفُسَهُمْ يَظْلِمُونَ,57,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-57- Urdu Translation: ,2-57- Urdu Tafseer: ,2-57- English Translation: ,2-57- English Tafseer: ,2-57- Sindhi Translation: ,2-57- Sindhi Tafseer:,2-57- Hindi Translation: ,2-57- Hindi Tafseer: ,2-57- Pushto Translation: ,2-57- Pushto Tafseer: 
65,وَإِذْ قُلْنَا ٱدْخُلُوا۟ هَٰذِهِ ٱلْقَرْيَةَ فَكُلُوا۟ مِنْهَا حَيْثُ شِئْتُمْ رَغَدًۭا وَٱدْخُلُوا۟ ٱلْبَابَ سُجَّدًۭا وَقُولُوا۟ حِطَّةٌۭ نَّغْفِرْ لَكُمْ خَطَٰيَٰكُمْ ۚ وَسَنَزِيدُ ٱلْمُحْسِنِينَ,58,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-58- Urdu Translation: ,2-58- Urdu Tafseer: ,2-58- English Translation: ,2-58- English Tafseer: ,2-58- Sindhi Translation: ,2-58- Sindhi Tafseer:,2-58- Hindi Translation: ,2-58- Hindi Tafseer: ,2-58- Pushto Translation: ,2-58- Pushto Tafseer: 
66,فَبَدَّلَ ٱلَّذِينَ ظَلَمُوا۟ قَوْلًا غَيْرَ ٱلَّذِى قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى ٱلَّذِينَ ظَلَمُوا۟ رِجْزًۭا مِّنَ ٱلسَّمَآءِ بِمَا كَانُوا۟ يَفْسُقُونَ,59,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-59- Urdu Translation: ,2-59- Urdu Tafseer: ,2-59- English Translation: ,2-59- English Tafseer: ,2-59- Sindhi Translation: ,2-59- Sindhi Tafseer:,2-59- Hindi Translation: ,2-59- Hindi Tafseer: ,2-59- Pushto Translation: ,2-59- Pushto Tafseer: 
67,۞ وَإِذِ ٱسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِۦ فَقُلْنَا ٱضْرِب بِّعَصَاكَ ٱلْحَجَرَ ۖ فَٱنفَجَرَتْ مِنْهُ ٱثْنَتَا عَشْرَةَ عَيْنًۭا ۖ قَدْ عَلِمَ كُلُّ أُنَاسٍۢ مَّشْرَبَهُمْ ۖ كُلُوا۟ وَٱشْرَبُوا۟ مِن رِّزْقِ ٱللَّهِ وَلَا تَعْثَوْا۟ فِى ٱلْأَرْضِ مُفْسِدِينَ,60,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-60- Urdu Translation: ,2-60- Urdu Tafseer: ,2-60- English Translation: ,2-60- English Tafseer: ,2-60- Sindhi Translation: ,2-60- Sindhi Tafseer:,2-60- Hindi Translation: ,2-60- Hindi Tafseer: ,2-60- Pushto Translation: ,2-60- Pushto Tafseer: 
68,وَإِذْ قُلْتُمْ يَٰمُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍۢ وَٰحِدٍۢ فَٱدْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنۢبِتُ ٱلْأَرْضُ مِنۢ بَقْلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا ۖ قَالَ أَتَسْتَبْدِلُونَ ٱلَّذِى هُوَ أَدْنَىٰ بِٱلَّذِى هُوَ خَيْرٌ ۚ ٱهْبِطُوا۟ مِصْرًۭا فَإِنَّ لَكُم مَّا سَأَلْتُمْ ۗ وَضُرِبَتْ عَلَيْهِمُ ٱلذِّلَّةُ وَٱلْمَسْكَنَةُ وَبَآءُو بِغَضَبٍۢ مِّنَ ٱللَّهِ ۗ ذَٰلِكَ بِأَنَّهُمْ كَانُوا۟ يَكْفُرُونَ بِـَٔايَٰتِ ٱللَّهِ وَيَقْتُلُونَ ٱلنَّبِيِّۦنَ بِغَيْرِ ٱلْحَقِّ ۗ ذَٰلِكَ بِمَا عَصَوا۟ وَّكَانُوا۟ يَعْتَدُونَ,61,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-61- Urdu Translation: ,2-61- Urdu Tafseer: ,2-61- English Translation: ,2-61- English Tafseer: ,2-61- Sindhi Translation: ,2-61- Sindhi Tafseer:,2-61- Hindi Translation: ,2-61- Hindi Tafseer: ,2-61- Pushto Translation: ,2-61- Pushto Tafseer: 
69,إِنَّ ٱلَّذِينَ ءَامَنُوا۟ وَٱلَّذِينَ هَادُوا۟ وَٱلنَّصَٰرَىٰ وَٱلصَّٰبِـِٔينَ مَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْءَاخِرِ وَعَمِلَ صَٰلِحًۭا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,62,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-62- Urdu Translation: ,2-62- Urdu Tafseer: ,2-62- English Translation: ,2-62- English Tafseer: ,2-62- Sindhi Translation: ,2-62- Sindhi Tafseer:,2-62- Hindi Translation: ,2-62- Hindi Tafseer: ,2-62- Pushto Translation: ,2-62- Pushto Tafseer: 
70,وَإِذْ أَخَذْنَا مِيثَٰقَكُمْ وَرَفَعْنَا فَوْقَكُمُ ٱلطُّورَ خُذُوا۟ مَآ ءَاتَيْنَٰكُم بِقُوَّةٍۢ وَٱذْكُرُوا۟ مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ,63,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-63- Urdu Translation: ,2-63- Urdu Tafseer: ,2-63- English Translation: ,2-63- English Tafseer: ,2-63- Sindhi Translation: ,2-63- Sindhi Tafseer:,2-63- Hindi Translation: ,2-63- Hindi Tafseer: ,2-63- Pushto Translation: ,2-63- Pushto Tafseer: 
71,ثُمَّ تَوَلَّيْتُم مِّنۢ بَعْدِ ذَٰلِكَ ۖ فَلَوْلَا فَضْلُ ٱللَّهِ عَلَيْكُمْ وَرَحْمَتُهُۥ لَكُنتُم مِّنَ ٱلْخَٰسِرِينَ,64,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-64- Urdu Translation: ,2-64- Urdu Tafseer: ,2-64- English Translation: ,2-64- English Tafseer: ,2-64- Sindhi Translation: ,2-64- Sindhi Tafseer:,2-64- Hindi Translation: ,2-64- Hindi Tafseer: ,2-64- Pushto Translation: ,2-64- Pushto Tafseer: 
72,وَلَقَدْ عَلِمْتُمُ ٱلَّذِينَ ٱعْتَدَوْا۟ مِنكُمْ فِى ٱلسَّبْتِ فَقُلْنَا لَهُمْ كُونُوا۟ قِرَدَةً خَٰسِـِٔينَ,65,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-65- Urdu Translation: ,2-65- Urdu Tafseer: ,2-65- English Translation: ,2-65- English Tafseer: ,2-65- Sindhi Translation: ,2-65- Sindhi Tafseer:,2-65- Hindi Translation: ,2-65- Hindi Tafseer: ,2-65- Pushto Translation: ,2-65- Pushto Tafseer: 
73,فَجَعَلْنَٰهَا نَكَٰلًۭا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةًۭ لِّلْمُتَّقِينَ,66,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-66- Urdu Translation: ,2-66- Urdu Tafseer: ,2-66- English Translation: ,2-66- English Tafseer: ,2-66- Sindhi Translation: ,2-66- Sindhi Tafseer:,2-66- Hindi Translation: ,2-66- Hindi Tafseer: ,2-66- Pushto Translation: ,2-66- Pushto Tafseer: 
74,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِۦٓ إِنَّ ٱللَّهَ يَأْمُرُكُمْ أَن تَذْبَحُوا۟ بَقَرَةًۭ ۖ قَالُوٓا۟ أَتَتَّخِذُنَا هُزُوًۭا ۖ قَالَ أَعُوذُ بِٱللَّهِ أَنْ أَكُونَ مِنَ ٱلْجَٰهِلِينَ,67,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-67- Urdu Translation: ,2-67- Urdu Tafseer: ,2-67- English Translation: ,2-67- English Tafseer: ,2-67- Sindhi Translation: ,2-67- Sindhi Tafseer:,2-67- Hindi Translation: ,2-67- Hindi Tafseer: ,2-67- Pushto Translation: ,2-67- Pushto Tafseer: 
75,قَالُوا۟ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِىَ ۚ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌۭ لَّا فَارِضٌۭ وَلَا بِكْرٌ عَوَانٌۢ بَيْنَ ذَٰلِكَ ۖ فَٱفْعَلُوا۟ مَا تُؤْمَرُونَ,68,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-68- Urdu Translation: ,2-68- Urdu Tafseer: ,2-68- English Translation: ,2-68- English Tafseer: ,2-68- Sindhi Translation: ,2-68- Sindhi Tafseer:,2-68- Hindi Translation: ,2-68- Hindi Tafseer: ,2-68- Pushto Translation: ,2-68- Pushto Tafseer: 
76,قَالُوا۟ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَا ۚ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌۭ صَفْرَآءُ فَاقِعٌۭ لَّوْنُهَا تَسُرُّ ٱلنَّٰظِرِينَ,69,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-69- Urdu Translation: ,2-69- Urdu Tafseer: ,2-69- English Translation: ,2-69- English Tafseer: ,2-69- Sindhi Translation: ,2-69- Sindhi Tafseer:,2-69- Hindi Translation: ,2-69- Hindi Tafseer: ,2-69- Pushto Translation: ,2-69- Pushto Tafseer: 
77,قَالُوا۟ ٱدْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِىَ إِنَّ ٱلْبَقَرَ تَشَٰبَهَ عَلَيْنَا وَإِنَّآ إِن شَآءَ ٱللَّهُ لَمُهْتَدُونَ,70,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-70- Urdu Translation: ,2-70- Urdu Tafseer: ,2-70- English Translation: ,2-70- English Tafseer: ,2-70- Sindhi Translation: ,2-70- Sindhi Tafseer:,2-70- Hindi Translation: ,2-70- Hindi Tafseer: ,2-70- Pushto Translation: ,2-70- Pushto Tafseer: 
78,قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٌۭ لَّا ذَلُولٌۭ تُثِيرُ ٱلْأَرْضَ وَلَا تَسْقِى ٱلْحَرْثَ مُسَلَّمَةٌۭ لَّا شِيَةَ فِيهَا ۚ قَالُوا۟ ٱلْـَٰٔنَ جِئْتَ بِٱلْحَقِّ ۚ فَذَبَحُوهَا وَمَا كَادُوا۟ يَفْعَلُونَ,71,2,سُورَةُ البَقَرَةِ,Al-Baqara,The Cow,Medinan,2-71- Urdu Translation: ,2-71- Urdu Tafseer: ,2-71- English Translation: ,2-71- English Tafseer: ,2-71- Sindhi Translation: ,2-71- Sindhi Tafseer:,2-71- Hindi Translation: ,2-71- Hindi Tafseer: ,2-71- Pushto Translation: ,2-71- Pushto Tafseer: 
